frame,probability,key,xmin,ymin,xmax,ymax
040tri_2p5_1,99.99,line-2.5mm,32,96,336,400
041tri_2p5_0,100.0,line-2.5mm,64,128,368,432
041tri_2p5_1,100.0,line-2.5mm,64,80,368,384
042tri_2p5_0,99.99,line-2.5mm,32,128,336,432
042tri_2p5_1,99.99,line-2.5mm,64,208,368,512
043tri_2p5_0,99.99,line-2.5mm,32,256,336,560
043tri_2p5_1,100.0,line-2.5mm,64,80,368,384
044tri_2p5_0,100.0,line-2.5mm,80,272,368,576
044tri_2p5_1,99.99,line-2.5mm,80,224,384,528
045tri_2p5_0,99.99,line-2.5mm,80,112,384,416
045tri_2p5_1,100.0,line-2.5mm,48,192,352,496
046tri_2p5_0,100.0,line-2.5mm,32,256,336,560
046tri_2p5_1,100.0,line-2.5mm,48,224,352,528
047tri_2p5_0,100.0,line-2.5mm,80,48,384,352
047tri_2p5_1,100.0,line-2.5mm,32,256,336,560
048tri_2p5_0,100.0,line-2.5mm,48,112,352,416
048tri_2p5_1,99.99,line-2.5mm,48,48,352,352
049tri_2p5_0,99.99,line-2.5mm,48,64,352,368
049tri_2p5_1,100.0,line-2.5mm,48,288,352,608
050tri_2p5_0,100.0,line-2.5mm,64,176,368,480
050tri_2p5_1,99.99,line-2.5mm,48,64,352,368
051tri_2p5_0,99.99,line-2.5mm,64,80,368,384
051tri_2p5_1,100.0,line-2.5mm,64,192,368,496
052tri_2p5_0,100.0,line-2.5mm,32,256,336,560
052tri_2p5_1,100.0,line-2.5mm,48,256,352,560
053tri_2p5_0,99.99,line-2.5mm,80,224,384,528
053tri_2p5_1,99.99,line-2.5mm,64,224,368,528
054tri_2p5_0,99.98,line-2.5mm,80,64,384,368
054tri_2p5_1,100.0,line-2.5mm,64,288,368,592
055tri_2p5_0,99.98,line-2.5mm,32,96,336,400
055tri_2p5_1,99.99,line-2.5mm,80,112,384,416
056tri_2p5_0,99.98,line-2.5mm,64,96,368,400
056tri_2p5_1,99.99,line-2.5mm,48,192,352,496
057tri_2p5_0,99.97,line-2.5mm,80,240,384,544
057tri_2p5_1,99.97,line-2.5mm,64,112,368,400
058tri_2p5_0,99.96,line-2.5mm,48,224,368,528
058tri_2p5_1,99.94,line-2.5mm,64,240,368,544
059tri_2p5_0,99.95,line-2.5mm,64,128,368,432
059tri_2p5_1,99.93,line-2.5mm,48,112,368,400
060tri_2p5_0,99.97,line-2.5mm,64,240,368,544
060tri_2p5_1,99.9,line-2.5mm,64,144,368,448
061tri_2p5_0,99.97,line-2.5mm,48,112,352,400
061tri_2p5_1,99.96,line-2.5mm,64,160,384,464
062tri_2p5_0,99.98,line-2.5mm,32,240,336,544
062tri_2p5_1,99.98,line-2.5mm,64,256,384,544
063tri_2p5_0,99.96,line-2.5mm,48,192,352,496
063tri_2p5_1,99.95,line-2.5mm,80,80,400,368
064tri_2p5_0,99.97,line-2.5mm,48,144,352,432
064tri_2p5_1,99.93,line-2.5mm,32,256,336,560
065tri_2p5_0,99.96,line-2.5mm,64,96,384,384
065tri_2p5_1,99.98,line-2.5mm,48,80,368,368
066tri_2p5_0,99.96,line-2.5mm,64,208,384,496
066tri_2p5_1,99.99,line-2.5mm,16,288,352,592
067tri_2p5_0,99.93,line-2.5mm,64,128,384,432
067tri_2p5_1,99.87,line-2.5mm,32,80,352,368
068tri_2p5_0,99.69,line-2.5mm,16,240,336,528
068tri_2p5_1,99.63,line-2.5mm,16,224,336,528
000circle_2p5_0,50.0,defect,336,304,384,352
000circle_2p5_0,50.0,defect,368,544,384,592
000circle_2p5_0,50.0,defect,64,0,240,192
000circle_2p5_0,50.0,defect,128,0,384,80
000circle_2p5_0,50.0,defect,0,0,96,64
000circle_2p5_0,50.0,defect,288,128,384,496
000circle_2p5_0,50.0,defect,0,0,176,48
000circle_2p5_0,50.0,defect,0,176,192,352
000circle_2p5_0,50.0,defect,0,80,192,256
000circle_2p5_0,50.0,defect,352,0,384,48
000circle_2p5_0,50.0,defect,16,0,64,48
000circle_2p5_0,50.0,defect,288,544,384,592
000circle_2p5_0,50.0,defect,240,0,384,48
000circle_2p5_0,50.0,defect,0,0,80,32
000circle_2p5_0,50.0,defect,0,304,192,480
000circle_2p5_0,50.0,defect,0,0,48,48
000circle_2p5_0,50.0,defect,336,576,384,592
000circle_2p5_0,50.0,defect,0,0,288,80
000circle_2p5_0,50.0,defect,288,416,384,592
000circle_2p5_0,50.0,defect,0,416,80,592
000circle_2p5_0,50.0,defect,0,544,32,592
000circle_2p5_0,50.0,defect,0,576,48,592
000circle_2p5_0,50.0,defect,0,528,64,592
000circle_2p5_0,50.0,defect,352,560,384,592
000circle_2p5_0,50.0,defect,0,176,80,544
000circle_2p5_0,50.0,defect,336,496,384,592
000circle_2p5_0,50.0,defect,0,240,192,416
000circle_2p5_0,50.0,defect,128,0,304,192
000circle_2p5_0,50.0,defect,48,0,144,80
000circle_2p5_0,50.0,defect,0,320,80,416
000circle_2p5_0,50.0,defect,0,208,48,384
000circle_2p5_0,50.0,defect,288,0,352,32
000circle_2p5_0,50.0,defect,272,0,320,48
000circle_2p5_0,50.0,defect,96,416,272,592
000circle_2p5_0,50.0,defect,80,0,144,32
000circle_2p5_0,50.0,defect,0,336,48,384
000circle_2p5_0,50.0,defect,0,320,48,368
000circle_2p5_0,50.0,defect,112,0,240,64
000circle_2p5_0,50.0,defect,0,288,32,384
000circle_2p5_0,50.0,defect,64,0,112,48
000circle_2p5_0,50.0,defect,208,208,384,384
000circle_2p5_0,50.0,defect,0,0,80,352
000circle_2p5_0,50.0,defect,32,0,96,32
000circle_2p5_0,50.0,defect,64,496,384,592
000circle_2p5_0,50.0,defect,288,0,384,80
000circle_2p5_0,50.0,defect,0,288,80,384
000circle_2p5_0,50.0,defect,320,0,368,48
000circle_2p5_0,50.0,defect,0,256,80,352
000circle_2p5_0,50.0,defect,0,496,192,592
000circle_2p5_0,50.0,defect,0,320,144,592
000circle_2p5_0,50.0,defect,224,368,384,592
000circle_2p5_0,50.0,defect,0,432,240,592
000circle_2p5_0,50.0,defect,32,352,336,592
000circle_2p5_0,50.0,defect,112,192,384,496
000circle_2p5_0,50.0,defect,208,0,384,224
000circle_2p5_0,50.0,defect,16,0,320,272
000circle_2p5_0,50.0,defect,112,16,384,320
000circle_2p5_0,50.0,defect,0,0,176,176
000circle_2p5_0,50.0,defect,0,240,256,544
000circle_2p5_0,50.0,defect,0,128,224,432
000circle_2p5_0,50.0,defect,0,176,144,480
000circle_2p5_0,50.0,defect,368,0,384,48
000circle_2p5_0,50.0,defect,288,0,384,192
000circle_2p5_0,50.0,defect,336,0,384,80
000circle_2p5_0,50.0,defect,336,0,384,32
000circle_2p5_0,50.0,defect,0,0,32,32
000circle_2p5_0,50.0,defect,48,0,336,128
000circle_2p5_0,50.0,defect,0,96,128,384
000circle_2p5_0,50.0,defect,0,304,48,352
000circle_2p5_0,50.0,defect,0,288,48,336
000circle_2p5_0,50.0,defect,0,256,32,320
000circle_2p5_0,50.0,defect,0,128,32,224
000circle_2p5_0,50.0,defect,336,288,384,336
000circle_2p5_0,50.0,defect,0,336,64,464
000circle_2p5_0,50.0,defect,208,0,304,32
000circle_2p5_0,50.0,defect,336,272,384,320
000circle_2p5_0,50.0,defect,0,64,80,160
000circle_2p5_0,50.0,defect,0,128,64,256
000circle_2p5_0,50.0,defect,0,352,32,416
000circle_2p5_0,50.0,defect,0,112,48,160
000circle_2p5_0,50.0,defect,160,80,336,448
000circle_2p5_0,50.0,defect,192,496,288,592
000circle_2p5_0,50.0,defect,0,144,48,192
000circle_2p5_0,50.0,defect,224,544,272,592
000circle_2p5_0,50.0,defect,0,480,32,576
000circle_2p5_0,50.0,defect,0,96,32,192
000circle_2p5_0,50.0,defect,0,128,48,176
000circle_2p5_0,50.0,defect,176,0,304,64
000circle_2p5_0,50.0,defect,320,240,384,368
000circle_2p5_0,50.0,defect,0,0,32,80
000circle_2p5_0,50.0,defect,208,320,384,496
000circle_2p5_0,50.0,defect,0,16,48,192
000circle_2p5_0,50.0,defect,128,0,176,48
000circle_2p5_0,50.0,defect,352,240,384,304
000circle_2p5_0,50.0,defect,176,544,224,592
000circle_2p5_0,50.0,defect,0,384,48,432
000circle_2p5_0,50.0,defect,0,160,48,208
000circle_2p5_0,50.0,defect,80,160,384,336
000circle_2p5_0,50.0,defect,0,96,48,144
000circle_2p5_0,50.0,defect,0,64,32,160
000circle_2p5_0,50.0,defect,240,544,288,592
000circle_2p5_0,50.0,defect,368,224,384,320
000circle_2p5_0,50.0,defect,352,496,384,560
000circle_2p5_0,50.0,defect,336,176,384,352
000circle_2p5_0,50.0,defect,0,512,48,560
000circle_2p5_0,50.0,defect,176,0,224,48
000circle_2p5_0,50.0,defect,192,0,240,48
000circle_2p5_0,50.0,defect,160,0,256,32
000circle_2p5_0,50.0,defect,144,0,208,32
000circle_2p5_0,50.0,defect,160,0,256,80
000circle_2p5_0,50.0,defect,80,0,176,80
000circle_2p5_0,50.0,defect,240,0,336,32
000circle_2p5_0,50.0,defect,256,0,304,48
000circle_2p5_0,50.0,defect,240,0,336,80
000circle_2p5_0,50.0,defect,0,224,80,320
000circle_2p5_0,50.0,defect,224,0,272,48
000circle_2p5_0,50.0,defect,368,256,384,352
000circle_2p5_0,50.0,defect,0,0,64,96
000circle_2p5_0,50.0,defect,0,16,48,64
000circle_2p5_0,50.0,defect,0,560,48,592
000circle_2p5_0,50.0,defect,0,96,80,192
000circle_2p5_0,50.0,defect,208,0,256,48
000circle_2p5_0,50.0,defect,240,0,288,48
000circle_2p5_0,50.0,defect,112,0,160,48
000circle_2p5_1,50.0,defect,352,368,384,432
000circle_2p5_1,50.0,defect,160,0,288,64
000circle_2p5_1,50.0,defect,144,0,208,32
000circle_2p5_1,50.0,defect,0,0,80,80
000circle_2p5_1,50.0,defect,0,0,160,48
000circle_2p5_1,50.0,defect,192,0,256,32
000circle_2p5_1,50.0,defect,112,0,208,80
000circle_2p5_1,50.0,defect,0,0,80,32
000circle_2p5_1,50.0,defect,288,0,384,320
000circle_2p5_1,50.0,defect,288,176,384,544
000circle_2p5_1,50.0,defect,16,0,64,48
000circle_2p5_1,50.0,defect,0,208,192,384
000circle_2p5_1,50.0,defect,0,0,48,48
000circle_2p5_1,50.0,defect,352,0,384,32
000circle_2p5_1,50.0,defect,0,496,48,592
000circle_2p5_1,50.0,defect,0,560,32,592
000circle_2p5_1,50.0,defect,80,0,256,192
000circle_2p5_1,50.0,defect,0,0,368,80
000circle_2p5_1,50.0,defect,0,544,48,592
000circle_2p5_1,50.0,defect,64,0,240,48
000circle_2p5_1,50.0,defect,0,96,80,464
000circle_2p5_1,50.0,defect,208,496,384,592
000circle_2p5_1,50.0,defect,112,0,176,32
000circle_2p5_1,50.0,defect,208,240,384,416
000circle_2p5_1,50.0,defect,80,0,176,80
000circle_2p5_1,50.0,defect,288,336,384,592
000circle_2p5_1,50.0,defect,64,0,112,48
000circle_2p5_1,50.0,defect,32,0,80,48
000circle_2p5_1,50.0,defect,176,0,224,48
000circle_2p5_1,50.0,defect,32,0,128,32
000circle_2p5_1,50.0,defect,48,0,96,48
000circle_2p5_1,50.0,defect,80,0,144,32
000circle_2p5_1,50.0,defect,224,0,272,48
000circle_2p5_1,50.0,defect,0,368,192,544
000circle_2p5_1,50.0,defect,0,336,80,592
000circle_2p5_1,50.0,defect,48,0,144,80
000circle_2p5_1,50.0,defect,0,144,192,320
000circle_2p5_1,50.0,defect,208,176,384,352
000circle_2p5_1,50.0,defect,208,32,384,208
000circle_2p5_1,50.0,defect,112,272,384,576
000circle_2p5_1,50.0,defect,208,384,384,592
000circle_2p5_1,50.0,defect,80,432,384,592
000circle_2p5_1,50.0,defect,0,256,256,560
000circle_2p5_1,50.0,defect,0,0,176,192
000circle_2p5_1,50.0,defect,80,0,384,256
000circle_2p5_1,50.0,defect,16,160,320,464
000circle_2p5_1,50.0,defect,0,224,128,512
000circle_2p5_1,50.0,defect,144,112,384,416
000circle_2p5_1,50.0,defect,0,432,224,592
000circle_2p5_1,50.0,defect,208,0,384,80
000circle_2p5_1,50.0,defect,336,0,384,80
000circle_2p5_1,50.0,defect,368,0,384,48
000circle_2p5_1,50.0,defect,240,0,384,144
000circle_2p5_1,50.0,defect,0,0,32,32
000circle_2p5_1,50.0,defect,288,0,384,48
000circle_2p5_1,50.0,defect,0,576,48,592
000circle_2p5_1,50.0,defect,0,0,80,192
000circle_2p5_1,50.0,defect,0,48,240,352
000circle_2p5_1,50.0,defect,336,272,384,448
000circle_2p5_1,50.0,defect,0,432,64,560
000circle_2p5_1,50.0,defect,0,496,48,544
000circle_2p5_1,50.0,defect,256,0,320,32
000circle_2p5_1,50.0,defect,320,0,368,48
000circle_2p5_1,50.0,defect,0,224,32,288
000circle_2p5_1,50.0,defect,336,272,384,320
000circle_2p5_1,50.0,defect,336,304,384,352
000circle_2p5_1,50.0,defect,272,0,368,32
000circle_2p5_1,50.0,defect,0,0,32,80
000circle_2p5_1,50.0,defect,336,240,384,288
000circle_2p5_1,50.0,defect,352,336,384,400
000circle_2p5_1,50.0,defect,320,176,384,304
000circle_2p5_1,50.0,defect,368,448,384,544
000circle_2p5_1,50.0,defect,288,256,384,352
000circle_2p5_1,50.0,defect,368,320,384,416
000circle_2p5_1,50.0,defect,0,192,80,288
000circle_2p5_1,50.0,defect,0,528,48,576
000circle_2p5_1,50.0,defect,0,96,352,272
000circle_2p5_1,50.0,defect,0,256,32,320
000circle_2p5_1,50.0,defect,304,0,352,48
000circle_2p5_1,50.0,defect,0,288,48,336
000circle_2p5_1,50.0,defect,336,256,384,304
000circle_2p5_1,50.0,defect,288,80,384,176
000circle_2p5_1,50.0,defect,352,80,384,144
000circle_2p5_1,50.0,defect,336,480,384,592
000circle_2p5_1,50.0,defect,0,16,48,64
000circle_2p5_1,50.0,defect,352,208,384,272
000circle_2p5_1,50.0,defect,336,112,384,160
000circle_2p5_1,50.0,defect,336,288,384,336
000circle_2p5_1,50.0,defect,368,352,384,448
000circle_2p5_1,50.0,defect,0,528,96,592
000circle_2p5_1,50.0,defect,208,0,304,32
000circle_2p5_1,50.0,defect,368,288,384,384
000circle_2p5_1,50.0,defect,0,160,48,336
000circle_2p5_1,50.0,defect,0,256,80,352
000circle_2p5_1,50.0,defect,368,208,384,304
000circle_2p5_1,50.0,defect,0,480,32,576
000circle_2p5_1,50.0,defect,240,0,288,48
000circle_2p5_1,50.0,defect,208,304,384,480
000circle_2p5_1,50.0,defect,0,480,80,576
000circle_2p5_1,50.0,defect,0,224,80,320
000circle_2p5_1,50.0,defect,176,0,352,48
000circle_2p5_1,50.0,defect,0,288,192,464
000circle_2p5_1,50.0,defect,336,560,384,592
000circle_2p5_1,50.0,defect,336,32,384,208
000circle_2p5_1,50.0,defect,368,544,384,592
000circle_2p5_1,50.0,defect,368,80,384,176
000circle_2p5_1,50.0,defect,288,224,384,320
000circle_2p5_1,50.0,defect,144,0,320,208
000circle_2p5_1,50.0,defect,208,96,384,272
000circle_2p5_1,50.0,defect,336,320,384,368
000circle_2p5_1,50.0,defect,0,512,48,560
000circle_2p5_1,50.0,defect,368,240,384,336
000circle_2p5_1,50.0,defect,80,352,256,592
000circle_2p5_1,50.0,defect,288,288,384,384
000circle_2p5_1,50.0,defect,16,544,64,592
000circle_2p5_1,50.0,defect,336,192,384,368
001circle_2p5_0,50.0,defect,0,336,32,400
001circle_2p5_0,50.0,defect,0,0,80,80
001circle_2p5_0,50.0,defect,352,560,384,592
001circle_2p5_0,50.0,defect,0,368,192,544
001circle_2p5_0,50.0,defect,336,496,384,592
001circle_2p5_0,50.0,defect,0,128,192,304
001circle_2p5_0,50.0,defect,288,112,384,480
001circle_2p5_0,50.0,defect,0,272,192,448
001circle_2p5_0,50.0,defect,288,544,384,592
001circle_2p5_0,50.0,defect,0,0,128,48
001circle_2p5_0,50.0,defect,0,352,80,448
001circle_2p5_0,50.0,defect,0,48,80,416
001circle_2p5_0,50.0,defect,16,0,64,48
001circle_2p5_0,50.0,defect,0,0,80,32
001circle_2p5_0,50.0,defect,0,384,48,432
001circle_2p5_0,50.0,defect,208,192,384,368
001circle_2p5_0,50.0,defect,208,0,384,48
001circle_2p5_0,50.0,defect,0,352,32,448
001circle_2p5_0,50.0,defect,336,576,384,592
001circle_2p5_0,50.0,defect,368,544,384,592
001circle_2p5_0,50.0,defect,0,496,48,592
001circle_2p5_0,50.0,defect,0,560,32,592
001circle_2p5_0,50.0,defect,336,0,384,32
001circle_2p5_0,50.0,defect,208,496,384,592
001circle_2p5_0,50.0,defect,288,416,384,592
001circle_2p5_0,50.0,defect,48,0,224,192
001circle_2p5_0,50.0,defect,0,224,80,592
001circle_2p5_0,50.0,defect,128,0,304,192
001circle_2p5_0,50.0,defect,128,0,384,80
001circle_2p5_0,50.0,defect,0,0,48,48
001circle_2p5_0,50.0,defect,0,304,48,480
001circle_2p5_0,50.0,defect,96,0,224,64
001circle_2p5_0,50.0,defect,304,0,352,48
001circle_2p5_0,50.0,defect,32,0,208,48
001circle_2p5_0,50.0,defect,192,0,320,64
001circle_2p5_0,50.0,defect,112,0,176,32
001circle_2p5_0,50.0,defect,48,0,96,48
001circle_2p5_0,50.0,defect,192,0,256,32
001circle_2p5_0,50.0,defect,144,0,192,48
001circle_2p5_0,50.0,defect,0,384,80,480
001circle_2p5_0,50.0,defect,288,0,336,48
001circle_2p5_0,50.0,defect,0,400,48,448
001circle_2p5_0,50.0,defect,256,0,352,80
001circle_2p5_0,50.0,defect,32,0,80,48
001circle_2p5_0,50.0,defect,0,368,48,416
001circle_2p5_0,50.0,defect,128,0,304,48
001circle_2p5_0,50.0,defect,208,272,384,448
001circle_2p5_0,50.0,defect,320,0,384,64
001circle_2p5_0,50.0,defect,368,0,384,48
001circle_2p5_0,50.0,defect,0,576,48,592
001circle_2p5_0,50.0,defect,128,304,384,592
001circle_2p5_0,50.0,defect,48,432,352,592
001circle_2p5_0,50.0,defect,32,0,336,272
001circle_2p5_0,50.0,defect,176,0,384,240
001circle_2p5_0,50.0,defect,0,0,128,256
001circle_2p5_0,50.0,defect,144,192,384,496
001circle_2p5_0,50.0,defect,0,240,240,544
001circle_2p5_0,50.0,defect,0,112,272,416
001circle_2p5_0,50.0,defect,0,544,80,592
001circle_2p5_0,50.0,defect,0,0,32,32
001circle_2p5_0,50.0,defect,0,0,80,192
001circle_2p5_0,50.0,defect,0,0,192,80
001circle_2p5_0,50.0,defect,0,496,192,592
001circle_2p5_0,50.0,defect,0,416,80,592
001circle_2p5_0,50.0,defect,288,0,384,192
001circle_2p5_0,50.0,defect,128,64,384,368
001circle_2p5_0,50.0,defect,0,32,224,336
001circle_2p5_0,50.0,defect,0,176,128,464
001circle_2p5_0,50.0,defect,256,0,320,32
001circle_2p5_0,50.0,defect,176,0,272,80
001circle_2p5_0,50.0,defect,0,16,48,64
001circle_2p5_0,50.0,defect,368,288,384,384
001circle_2p5_0,50.0,defect,0,176,48,224
001circle_2p5_0,50.0,defect,320,272,384,400
001circle_2p5_0,50.0,defect,0,96,48,272
001circle_2p5_0,50.0,defect,352,272,384,336
001circle_2p5_0,50.0,defect,0,0,32,80
001circle_2p5_0,50.0,defect,336,160,384,336
001circle_2p5_0,50.0,defect,288,208,384,304
001circle_2p5_0,50.0,defect,352,304,384,368
001circle_2p5_0,50.0,defect,0,432,32,496
001circle_2p5_0,50.0,defect,0,480,32,576
001circle_2p5_0,50.0,defect,208,336,384,512
001circle_2p5_0,50.0,defect,288,240,384,336
001circle_2p5_0,50.0,defect,0,192,32,256
001circle_2p5_0,50.0,defect,336,256,384,304
001circle_2p5_0,50.0,defect,368,256,384,352
001circle_2p5_0,50.0,defect,368,192,384,288
001circle_2p5_0,50.0,defect,0,144,80,240
001circle_2p5_0,50.0,defect,352,224,384,288
001circle_2p5_0,50.0,defect,0,224,48,272
001circle_2p5_0,50.0,defect,0,208,192,384
001circle_2p5_0,50.0,defect,0,464,48,512
001circle_2p5_0,50.0,defect,368,336,384,432
001circle_2p5_0,50.0,defect,0,144,32,240
001circle_2p5_0,50.0,defect,352,352,384,416
001circle_2p5_0,50.0,defect,336,288,384,464
001circle_2p5_0,50.0,defect,0,512,48,560
001circle_2p5_0,50.0,defect,80,0,176,80
001circle_2p5_0,50.0,defect,240,0,288,48
001circle_2p5_0,50.0,defect,224,0,272,48
001circle_2p5_0,50.0,defect,0,384,32,480
001circle_2p5_0,50.0,defect,0,416,48,464
001circle_2p5_0,50.0,defect,0,176,80,272
001circle_2p5_0,50.0,defect,176,0,224,48
001circle_2p5_0,50.0,defect,144,0,240,80
001circle_2p5_0,50.0,defect,352,0,384,48
001circle_2p5_0,50.0,defect,272,0,368,32
001circle_2p5_0,50.0,defect,64,0,112,48
001circle_2p5_0,50.0,defect,160,0,208,48
001circle_2p5_0,50.0,defect,208,128,384,304
001circle_2p5_0,50.0,defect,96,0,144,48
001circle_2p5_0,50.0,defect,80,0,128,48
001circle_2p5_0,50.0,defect,48,0,144,32
001circle_2p5_0,50.0,defect,208,0,304,32
001circle_2p5_0,50.0,defect,128,0,224,32
001circle_2p5_0,50.0,defect,48,0,144,80
001circle_2p5_0,50.0,defect,0,320,80,416
001circle_2p5_0,50.0,defect,0,368,48,544
001circle_2p5_0,50.0,defect,368,224,384,320
001circle_2p5_1,50.0,defect,16,544,64,592
001circle_2p5_1,50.0,defect,336,0,384,48
001circle_2p5_1,50.0,defect,352,544,384,592
001circle_2p5_1,50.0,defect,0,0,144,48
001circle_2p5_1,50.0,defect,0,320,80,592
001circle_2p5_1,50.0,defect,160,0,336,48
001circle_2p5_1,50.0,defect,64,0,240,192
001circle_2p5_1,50.0,defect,208,256,384,432
001circle_2p5_1,50.0,defect,64,0,128,32
001circle_2p5_1,50.0,defect,224,0,288,32
001circle_2p5_1,50.0,defect,16,0,112,80
001circle_2p5_1,50.0,defect,208,0,304,80
001circle_2p5_1,50.0,defect,48,0,144,80
001circle_2p5_1,50.0,defect,0,0,80,288
001circle_2p5_1,50.0,defect,288,176,384,544
001circle_2p5_1,50.0,defect,336,560,384,592
001circle_2p5_1,50.0,defect,160,0,336,192
001circle_2p5_1,50.0,defect,336,496,384,592
001circle_2p5_1,50.0,defect,336,576,384,592
001circle_2p5_1,50.0,defect,288,544,384,592
001circle_2p5_1,50.0,defect,0,0,48,32
001circle_2p5_1,50.0,defect,0,560,32,592
001circle_2p5_1,50.0,defect,0,0,64,64
001circle_2p5_1,50.0,defect,0,0,32,48
001circle_2p5_1,50.0,defect,0,0,288,80
001circle_2p5_1,50.0,defect,32,0,96,32
001circle_2p5_1,50.0,defect,320,0,368,48
001circle_2p5_1,50.0,defect,288,0,336,48
001circle_2p5_1,50.0,defect,304,0,352,48
001circle_2p5_1,50.0,defect,256,0,352,80
001circle_2p5_1,50.0,defect,240,0,384,48
001circle_2p5_1,50.0,defect,208,112,384,288
001circle_2p5_1,50.0,defect,176,0,272,80
001circle_2p5_1,50.0,defect,0,112,80,480
001circle_2p5_1,50.0,defect,272,0,320,48
001circle_2p5_1,50.0,defect,96,0,272,48
001circle_2p5_1,50.0,defect,288,0,384,80
001circle_2p5_1,50.0,defect,0,192,192,368
001circle_2p5_1,50.0,defect,256,0,304,48
001circle_2p5_1,50.0,defect,0,384,192,560
001circle_2p5_1,50.0,defect,368,0,384,80
001circle_2p5_1,50.0,defect,288,32,384,400
001circle_2p5_1,50.0,defect,0,272,192,448
001circle_2p5_1,50.0,defect,368,544,384,592
001circle_2p5_1,50.0,defect,0,432,304,592
001circle_2p5_1,50.0,defect,208,352,384,592
001circle_2p5_1,50.0,defect,32,304,336,592
001circle_2p5_1,50.0,defect,0,0,224,272
001circle_2p5_1,50.0,defect,80,0,384,256
001circle_2p5_1,50.0,defect,0,112,256,416
001circle_2p5_1,50.0,defect,224,0,384,224
001circle_2p5_1,50.0,defect,96,224,384,528
001circle_2p5_1,50.0,defect,0,224,256,528
001circle_2p5_1,50.0,defect,0,0,160,176
001circle_2p5_1,50.0,defect,0,496,48,592
001circle_2p5_1,50.0,defect,208,496,384,592
001circle_2p5_1,50.0,defect,352,0,384,32
001circle_2p5_1,50.0,defect,0,496,192,592
001circle_2p5_1,50.0,defect,288,416,384,592
001circle_2p5_1,50.0,defect,0,576,48,592
001circle_2p5_1,50.0,defect,64,80,368,384
001circle_2p5_1,50.0,defect,176,32,384,336
